Timestamp,Device Address,Filtered_RSSI
2025-05-01 17:00:44,2C:CF:67:C8:DD:D0,-67.0
2025-05-01 17:00:46,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 17:00:48,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 17:00:49,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 17:00:52,2C:CF:67:C8:DD:D0,-67.0
2025-05-01 17:00:56,2C:CF:67:C8:DD:D0,-67.0
2025-05-01 17:00:57,2C:CF:67:C8:DD:D0,-64.0
2025-05-01 17:00:58,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 17:01:00,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 17:01:01,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 17:01:02,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 17:01:04,2C:CF:67:C8:DD:D0,-68.0
2025-05-01 17:01:05,2C:CF:67:C8:DD:D0,-68.0
2025-05-01 17:01:07,2C:CF:67:C8:DD:D0,-65.0
2025-05-01 17:01:09,2C:CF:67:C8:DD:D0,-65.0
2025-05-01 17:01:10,2C:CF:67:C8:DD:D0,-64.0
2025-05-01 17:01:11,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 17:00:47,2C:CF:67:C8:DD:EA,-78.0
2025-05-01 17:00:52,2C:CF:67:C8:DD:EA,-71.0
2025-05-01 17:00:53,2C:CF:67:C8:DD:EA,-71.0
2025-05-01 17:00:57,2C:CF:67:C8:DD:EA,-60.0
2025-05-01 17:00:58,2C:CF:67:C8:DD:EA,-60.0
2025-05-01 17:00:59,2C:CF:67:C8:DD:EA,-64.0
2025-05-01 17:01:01,2C:CF:67:C8:DD:EA,-64.0
2025-05-01 17:01:02,2C:CF:67:C8:DD:EA,-61.0
2025-05-01 17:01:08,2C:CF:67:C8:DD:EA,-61.0
2025-05-01 17:01:10,2C:CF:67:C8:DD:EA,-70.0
2025-05-01 17:01:14,2C:CF:67:C8:DD:EA,-70.0
