Timestamp,Device Address,Filtered_RSSI
2025-05-01 16:37:04,2C:CF:67:C8:DD:EA,-76.0
2025-05-01 16:37:05,2C:CF:67:C8:DD:EA,-66.0
2025-05-01 16:37:06,2C:CF:67:C8:DD:EA,-67.0
2025-05-01 16:37:08,2C:CF:67:C8:DD:EA,-66.0
2025-05-01 16:37:09,2C:CF:67:C8:DD:EA,-61.0
2025-05-01 16:37:14,2C:CF:67:C8:DD:EA,-60.0
2025-05-01 16:37:15,2C:CF:67:C8:DD:EA,-60.0
2025-05-01 16:37:18,2C:CF:67:C8:DD:EA,-60.0
2025-05-01 16:37:20,2C:CF:67:C8:DD:EA,-63.0
2025-05-01 16:37:22,2C:CF:67:C8:DD:EA,-64.0
2025-05-01 16:37:23,2C:CF:67:C8:DD:EA,-65.0
2025-05-01 16:37:24,2C:CF:67:C8:DD:EA,-68.0
2025-05-01 16:37:25,2C:CF:67:C8:DD:EA,-71.0
2025-05-01 16:37:27,2C:CF:67:C8:DD:EA,-71.0
2025-05-01 16:37:28,2C:CF:67:C8:DD:EA,-69.0
2025-05-01 16:37:29,2C:CF:67:C8:DD:EA,-68.0
2025-05-01 16:37:31,2C:CF:67:C8:DD:EA,-66.0
2025-05-01 16:37:32,2C:CF:67:C8:DD:EA,-68.0
2025-05-01 16:37:07,2C:CF:67:C8:DD:D0,-66.0
2025-05-01 16:37:08,2C:CF:67:C8:DD:D0,-57.0
2025-05-01 16:37:12,2C:CF:67:C8:DD:D0,-60.0
2025-05-01 16:37:13,2C:CF:67:C8:DD:D0,-57.0
2025-05-01 16:37:14,2C:CF:67:C8:DD:D0,-60.0
2025-05-01 16:37:16,2C:CF:67:C8:DD:D0,-64.0
2025-05-01 16:37:17,2C:CF:67:C8:DD:D0,-66.0
2025-05-01 16:37:18,2C:CF:67:C8:DD:D0,-70.0
2025-05-01 16:37:19,2C:CF:67:C8:DD:D0,-70.0
2025-05-01 16:37:21,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 16:37:22,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 16:37:25,2C:CF:67:C8:DD:D0,-64.0
2025-05-01 16:37:27,2C:CF:67:C8:DD:D0,-64.0
2025-05-01 16:37:30,2C:CF:67:C8:DD:D0,-64.0
2025-05-01 16:37:31,2C:CF:67:C8:DD:D0,-64.0
