Timestamp,Device Address,Filtered_RSSI
2025-05-01 16:38:01,2C:CF:67:C8:DD:EA,-70.0
2025-05-01 16:38:04,2C:CF:67:C8:DD:EA,-57.0
2025-05-01 16:38:05,2C:CF:67:C8:DD:EA,-70.0
2025-05-01 16:38:07,2C:CF:67:C8:DD:EA,-57.0
2025-05-01 16:38:08,2C:CF:67:C8:DD:EA,-59.0
2025-05-01 16:38:09,2C:CF:67:C8:DD:EA,-57.0
2025-05-01 16:38:10,2C:CF:67:C8:DD:EA,-56.0
2025-05-01 16:38:12,2C:CF:67:C8:DD:EA,-55.0
2025-05-01 16:38:13,2C:CF:67:C8:DD:EA,-54.0
2025-05-01 16:38:14,2C:CF:67:C8:DD:EA,-54.0
2025-05-01 16:38:17,2C:CF:67:C8:DD:EA,-54.0
2025-05-01 16:38:18,2C:CF:67:C8:DD:EA,-61.0
2025-05-01 16:38:21,2C:CF:67:C8:DD:EA,-61.0
2025-05-01 16:38:24,2C:CF:67:C8:DD:EA,-54.0
2025-05-01 16:38:26,2C:CF:67:C8:DD:EA,-54.0
2025-05-01 16:38:28,2C:CF:67:C8:DD:EA,-54.0
2025-05-01 16:38:02,2C:CF:67:C8:DD:D0,-70.0
2025-05-01 16:38:03,2C:CF:67:C8:DD:D0,-65.0
2025-05-01 16:38:04,2C:CF:67:C8:DD:D0,-67.0
2025-05-01 16:38:07,2C:CF:67:C8:DD:D0,-67.0
2025-05-01 16:38:09,2C:CF:67:C8:DD:D0,-67.0
2025-05-01 16:38:11,2C:CF:67:C8:DD:D0,-60.0
2025-05-01 16:38:13,2C:CF:67:C8:DD:D0,-60.0
2025-05-01 16:38:17,2C:CF:67:C8:DD:D0,-62.0
2025-05-01 16:38:21,2C:CF:67:C8:DD:D0,-62.0
2025-05-01 16:38:26,2C:CF:67:C8:DD:D0,-62.0
2025-05-01 16:38:27,2C:CF:67:C8:DD:D0,-63.0
2025-05-01 16:38:30,2C:CF:67:C8:DD:D0,-64.0
