Timestamp,Device Address,Filtered_RSSI
2025-05-01 16:55:37,2C:CF:67:C8:DD:D0,-65.0
2025-05-01 16:55:38,2C:CF:67:C8:DD:D0,-69.0
2025-05-01 16:55:42,2C:CF:67:C8:DD:D0,-65.0
2025-05-01 16:55:44,2C:CF:67:C8:DD:D0,-67.0
2025-05-01 16:55:46,2C:CF:67:C8:DD:D0,-62.0
2025-05-01 16:55:47,2C:CF:67:C8:DD:D0,-67.0
2025-05-01 16:55:48,2C:CF:67:C8:DD:D0,-60.0
2025-05-01 16:55:52,2C:CF:67:C8:DD:D0,-69.0
2025-05-01 16:55:53,2C:CF:67:C8:DD:D0,-61.0
2025-05-01 16:55:55,2C:CF:67:C8:DD:D0,-72.0
2025-05-01 16:55:57,2C:CF:67:C8:DD:D0,-65.0
2025-05-01 16:56:00,2C:CF:67:C8:DD:D0,-73.0
2025-05-01 16:56:01,2C:CF:67:C8:DD:D0,-67.0
2025-05-01 16:56:04,2C:CF:67:C8:DD:D0,-67.0
2025-05-01 16:56:05,2C:CF:67:C8:DD:D0,-67.0
2025-05-01 16:56:06,2C:CF:67:C8:DD:D0,-69.0
2025-05-01 16:55:38,2C:CF:67:C8:DD:EA,-50.0
2025-05-01 16:55:39,2C:CF:67:C8:DD:EA,-56.0
2025-05-01 16:55:40,2C:CF:67:C8:DD:EA,-50.0
2025-05-01 16:55:45,2C:CF:67:C8:DD:EA,-50.0
2025-05-01 16:55:49,2C:CF:67:C8:DD:EA,-50.0
2025-05-01 16:55:52,2C:CF:67:C8:DD:EA,-50.0
2025-05-01 16:55:56,2C:CF:67:C8:DD:EA,-50.0
2025-05-01 16:55:58,2C:CF:67:C8:DD:EA,-50.0
2025-05-01 16:55:59,2C:CF:67:C8:DD:EA,-50.0
2025-05-01 16:56:02,2C:CF:67:C8:DD:EA,-50.0
2025-05-01 16:56:03,2C:CF:67:C8:DD:EA,-51.0
2025-05-01 16:56:05,2C:CF:67:C8:DD:EA,-50.0
2025-05-01 16:56:06,2C:CF:67:C8:DD:EA,-49.0
