Timestamp,Device Address,Filtered_RSSI
2025-05-01 16:59:25,2C:CF:67:C8:DD:EA,-64.0
2025-05-01 16:59:27,2C:CF:67:C8:DD:EA,-63.66099601742222
2025-05-01 16:59:28,2C:CF:67:C8:DD:EA,-63.56398881771123
2025-05-01 16:59:31,2C:CF:67:C8:DD:EA,-63.620615428381996
2025-05-01 16:59:34,2C:CF:67:C8:DD:EA,-63.431165956284104
2025-05-01 16:59:35,2C:CF:67:C8:DD:EA,-63.385176048188335
2025-05-01 16:59:37,2C:CF:67:C8:DD:EA,-62.65832618097424
2025-05-01 16:59:40,2C:CF:67:C8:DD:EA,-62.6896470372937
2025-05-01 16:59:41,2C:CF:67:C8:DD:EA,-62.63029304698031
2025-05-01 16:59:43,2C:CF:67:C8:DD:EA,-62.49765433722148
2025-05-01 16:59:44,2C:CF:67:C8:DD:EA,-62.84600355496937
2025-05-01 16:59:46,2C:CF:67:C8:DD:EA,-62.78343048632831
2025-05-01 16:59:48,2C:CF:67:C8:DD:EA,-62.58571837317218
2025-05-01 16:59:53,2C:CF:67:C8:DD:EA,-62.545599456118815
2025-05-01 16:59:26,2C:CF:67:C8:DD:D0,-62.0
2025-05-01 16:59:29,2C:CF:67:C8:DD:D0,-62.16950199128889
2025-05-01 16:59:30,2C:CF:67:C8:DD:D0,-61.704348640059294
2025-05-01 16:59:34,2C:CF:67:C8:DD:D0,-62.521991427583345
2025-05-01 16:59:35,2C:CF:67:C8:DD:D0,-63.04546932692751
2025-05-01 16:59:36,2C:CF:67:C8:DD:D0,-62.827291279734645
2025-05-01 16:59:38,2C:CF:67:C8:DD:D0,-63.04112951927223
2025-05-01 16:59:39,2C:CF:67:C8:DD:D0,-62.85402146228143
2025-05-01 16:59:42,2C:CF:67:C8:DD:D0,-62.60839209962774
2025-05-01 16:59:43,2C:CF:67:C8:DD:D0,-62.55889403958783
2025-05-01 16:59:44,2C:CF:67:C8:DD:D0,-63.28935814037277
2025-05-01 16:59:45,2C:CF:67:C8:DD:D0,-63.267956307398144
2025-05-01 16:59:47,2C:CF:67:C8:DD:D0,-63.31995469790864
2025-05-01 16:59:48,2C:CF:67:C8:DD:D0,-63.435029794077224
2025-05-01 16:59:49,2C:CF:67:C8:DD:D0,-63.27361403363708
2025-05-01 16:59:51,2C:CF:67:C8:DD:D0,-63.256003782068774
