Timestamp	Reference Point	Device Address	Device Name	RSSI
2025-05-01 16:55:37	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-65
2025-05-01 16:55:38	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-50
2025-05-01 16:55:38	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-69
2025-05-01 16:55:39	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-56
2025-05-01 16:55:40	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-49
2025-05-01 16:55:42	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-62
2025-05-01 16:55:44	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-67
2025-05-01 16:55:45	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-50
2025-05-01 16:55:46	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-60
2025-05-01 16:55:47	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-69
2025-05-01 16:55:48	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-60
2025-05-01 16:55:49	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-50
2025-05-01 16:55:52	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-55
2025-05-01 16:55:52	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-72
2025-05-01 16:55:53	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-61
2025-05-01 16:55:55	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-73
2025-05-01 16:55:56	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-47
2025-05-01 16:55:57	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-65
2025-05-01 16:55:58	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-50
2025-05-01 16:55:59	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-51
2025-05-01 16:56:00	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-79
2025-05-01 16:56:01	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-67
2025-05-01 16:56:02	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-50
2025-05-01 16:56:03	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-54
2025-05-01 16:56:04	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-64
2025-05-01 16:56:05	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-49
2025-05-01 16:56:05	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-72
2025-05-01 16:56:06	RS30	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-49
2025-05-01 16:56:06	RS30	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-69
