Timestamp	Reference Point	Device Address	Device Name	RSSI
2025-05-01 17:03:58	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-59
2025-05-01 17:03:58	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-61
2025-05-01 17:03:59	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-61
2025-05-01 17:04:01	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-68
2025-05-01 17:04:02	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-71
2025-05-01 17:04:03	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-65
2025-05-01 17:04:03	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-70
2025-05-01 17:04:04	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-63
2025-05-01 17:04:05	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-66
2025-05-01 17:04:06	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-54
2025-05-01 17:04:07	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-60
2025-05-01 17:04:07	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-59
2025-05-01 17:04:08	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-61
2025-05-01 17:04:09	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-64
2025-05-01 17:04:09	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-64
2025-05-01 17:04:11	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-62
2025-05-01 17:04:12	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-61
2025-05-01 17:04:12	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-64
2025-05-01 17:04:13	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-65
2025-05-01 17:04:14	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-69
2025-05-01 17:04:16	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-72
2025-05-01 17:04:16	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-71
2025-05-01 17:04:18	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-85
2025-05-01 17:04:18	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-64
2025-05-01 17:04:19	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-75
2025-05-01 17:04:20	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-74
2025-05-01 17:04:21	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-75
2025-05-01 17:04:21	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-69
2025-05-01 17:04:22	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-71
2025-05-01 17:04:23	RS41	2C:CF:67:C8:DD:EA	2C-CF-67-C8-DD-EA	-76
2025-05-01 17:04:24	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-70
2025-05-01 17:04:25	RS41	2C:CF:67:C8:DD:D0	2C-CF-67-C8-DD-D0	-65
